year, month, day, hour, period, time, team, type, player, assist
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,cashtown,goal,null,null
10,10,17,8,null,null,newlowell,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,belarus,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,17,9,null,null,garner,goal,null,null
10,10,24,8,null,null,cashtown,goal,null,null
10,10,24,8,null,null,cashtown,goal,null,null
10,10,24,8,null,null,cashtown,goal,null,null
10,10,24,8,null,null,cashtown,goal,null,null
10,10,24,8,null,null,garner,goal,null,null
10,10,24,8,null,null,garner,goal,null,null
10,10,24,8,null,null,garner,goal,null,null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9, null, null, belarus,goal, null, null
10,10,24,9,null, null, newlowell,goal, null, null
10,10,24,9,null, null, newlowell,goal, null, null
10,10,24,9,null, null, newlowell,goal, null, null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,cashtown,goal,null,null
10,10,3,8,null,null,belarus,goal,null,null
10,10,3,8,null,null,belarus,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,cashtown,goal,null,null
10,10,3,9,null,null,newlowell,goal,null,null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, garner,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,8, null, null, newlowell,goal, null, null
10,10,31,9, null, null, cashtown,goal, null, null
10,10,31,9, null, null, cashtown,goal, null, null
10,10,31,9, null, null, cashtown,goal, null, null
10,10,31,9, null, null, cashtown,goal, null, null
10,10,31,9, null, null, belarus,goal, null, null
10,10,31,9, null, null, belarus,goal, null, null
10,10,31,9, null, null, belarus,goal, null, null
10,11,14,8, null, null, cashtown,goal, null, null
10,11,14,8, null, null, cashtown,goal, null, null
10,11,14,8, null, null, garner,goal, null, null
10,11,14,9, null, null, belarus,goal, null, null
10,11,14,9, null, null, belarus,goal, null, null
10,11,14,9, null, null, belarus,goal, null, null
10,11,14,9, null, null, belarus,goal, null, null
10,11,14,9, null, null, belarus,goal, null, null
10,11,14,9, null, null, newlowell,goal, null, null
10,11,14,9, null, null, newlowell,goal, null, null
10,11,21,8, null, null, belarus,goal, null, null
10,11,21,8, null, null, belarus,goal, null, null
10,11,21,8, null, null, belarus,goal, null, null
10,11,21,8, null, null, belarus,goal, null, null
10,11,21,8, null, null, cashtown,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, garner,goal, null, null
10,11,21,9, null, null, newlowell,null, null, null
10,11,28,8, null, null, newlowell,goal, null, null
10,11,28,8, null, null, newlowell,goal, null, null
10,11,28,8, null, null, newlowell,goal, null, null
10,11,28,8, null, null, newlowell,goal, null, null
10,11,28,8, null, null, belarus,goal, null, null
10,11,28,8, null, null, belarus,goal, null, null
10,11,28,8, null, null, belarus,goal, null, null
10,11,28,9, null, null, cashtown,goal, null, null
10,11,28,9, null, null, cashtown,goal, null, null
10,11,28,9, null, null, cashtown,goal, null, null
10,11,28,9, null, null, garner,goal, null, null
10,11,28,9, null, null, garner,goal, null, null
10,11,28,9, null, null, garner,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, belarus,goal, null, null
10,11,7,8, null, null, garner,goal, null, null
10,11,7,8, null, null, garner,goal, null, null
10,11,7,8, null, null, garner,goal, null, null
10,11,7,8, null, null, garner,goal, null, null
10,11,7,8, null, null, garner,goal, null, null
10,11,7,9, null, null, cashtown,goal, null, null
10,11,7,9, null, null, cashtown,goal, null, null
10,11,7,9, null, null, cashtown,goal, null, null
10,11,7,9, null, null, cashtown,goal, null, null
10,11,7,9, null, null, newlowell,goal, null, null
10,11,7,9, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, newlowell,goal, null, null
10,12,12,8, null, null, cashtown,goal, null, null
10,12,12,8, null, null, cashtown,goal, null, null
10,12,12,8, null, null, cashtown,goal, null, null
10,12,12,8, null, null, cashtown,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, belarus,goal, null, null
10,12,12,9, null, null, garner,goal, null, null
10,12,12,9, null, null, garner,goal, null, null
10,12,19,8, null, null, newlowell,goal, null, null
10,12,19,8, null, null, newlowell,goal, null, null
10,12,19,8, null, null, newlowell,goal, null, null
10,12,19,8, null, null, newlowell,goal, null, null
10,12,19,8, null, null, belarus,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, garner,goal, null, null
10,12,19,9, null, null, cashtown,goal, null, null
10,12,19,9, null, null, cashtown,goal, null, null
10,12,19,9, null, null, cashtown,goal, null, null
10,12,5,8, null, null, belarus,goal, null, null
