period,time,team,type,player,assist,date
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,17-Oct-2010 08:00:00
null,null,newlowell,goal,null,null,17-Oct-2010 08:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,belarus,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,garner,goal,null,null,17-Oct-2010 09:00:00
null,null,cashtown,goal,null,null,24-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,24-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,24-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,24-Oct-2010 08:00:00
null,null,garner,goal,null,null,24-Oct-2010 08:00:00
null,null,garner,goal,null,null,24-Oct-2010 08:00:00
null,null,garner,goal,null,null,24-Oct-2010 08:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,belarus,goal,null,null,24-Oct-2010 09:00:00
null,null,newlowell,goal,null,null,24-Oct-2010 09:00:00
null,null,newlowell,goal,null,null,24-Oct-2010 09:00:00
null,null,newlowell,goal,null,null,24-Oct-2010 09:00:00
null,null,cashtown,goal,null,null,03-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,03-Oct-2010 08:00:00
null,null,cashtown,goal,null,null,03-Oct-2010 08:00:00
