type, player, team, period, time, assist
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, coatscreek, null, null, null
goal, null, hherbtown, null, null, null
goal, null, hherbtown, null, null, null
goal, null, hherbtown, null, null, null
goal, null, hherbtown, null, null, null
