id,date,home,away,season,league
1,437580.7917,Stayner,Coaters Creek,Regular,csnhl
2,437580.8333,Herbtown,Belarus,Regular,csnhl
3,437580.875,New Lowell,Cashtown,Regular,csnhl
4,437650.7917,Belarus,Cashtown,Regular,csnhl
5,437650.8333,Stayner,Herbtown,Regular,csnhl
6,437650.875,Coates Creek,New Lowell,Regular,csnhl
7,437720.7917,Coates Creek,Cashtown,Regular,csnhl
8,437720.8333,Herbtown,New Lowell,Regular,csnhl
9,437720.875,Stayner,Belarus,Regular,csnhl
10,437790.7917,Stayner,New Lowell,Regular,csnhl
11,437790.8333,Coates Creek,Belarus,Regular,csnhl
12,437790.875,Herbtown,Cashtown,Regular,csnhl
13,437860.7917,Belarus,New Lowell,Regular,csnhl
14,437860.8333,Stayner,Cashtown,Regular,csnhl
15,437860.875,Coates Creek,Herbtown,Regular,csnhl
16,437930.7917,Herbtown,Belarus,Regular,csnhl
17,437930.8333,New Lowell,Cashtown,Regular,csnhl
18,437930.875,Stayner,Coates Creek,Regular,csnhl
19,438000.7917,Stayner,Herbtown,Regular,csnhl
20,438000.8333,Coates Creek,New Lowell,Regular,csnhl
21,438000.875,Belarus,Cashtown,Regular,csnhl
22,438070.7917,Herbtown,New Lowell,Regular,csnhl
23,438070.8333,Stayner,Belarus,Regular,csnhl
24,438070.875,Coates Creek,Cashtown,Regular,csnhl
25,438140.7917,Coates Creek,Belarus,Regular,csnhl
26,438140.8333,Herbtown,Cashtown,Regular,csnhl
27,438140.875,Stayner,New Lowell,Regular,csnhl
28,438210.7917,Stayner,Cashtown,Regular,csnhl
29,438210.8333,Coates Creek,Herbtown,Regular,csnhl
30,438210.875,Belarus,New Lowell,Regular,csnhl
31,438350.7917,New Lowell,Cashtown,Regular,csnhl
32,438350.8333,Stayner,Coates Creek,Regular,csnhl
33,438350.875,Herbtown,Belarus,Regular,csnhl
34,438420.7917,Coates Creek,New Lowell,Regular,csnhl
35,438420.8333,Belarus,Cashtown,Regular,csnhl
36,438420.875,Stayner,Herbtown,Regular,csnhl
37,438490.7917,Stayner,Belarus,Regular,csnhl
38,438490.8333,Coates Creek,Cashtown,Regular,csnhl
39,438490.875,Herbtown,New Lowell,Regular,csnhl
40,438560.7917,Herbtown,Cashtown,Regular,csnhl
41,438560.8333,Stayner,New Lowell,Regular,csnhl
42,438560.875,Coates Creek,Belarus,Regular,csnhl
43,438700.7917,Coates Creek,Herbtown,Regular,csnhl
44,438700.8333,Belarus,New Lowell,Regular,csnhl
45,438700.875,Stayner,Cashtown,Regular,csnhl
46,438770.7917,1,6,Round Robin,csnhl
47,438770.8333,2,5,Round Robin,csnhl
48,438770.875,3,4,Round Robin,csnhl
49,438840.7917,1,5,Round Robin,csnhl
50,438840.8333,2,4,Round Robin,csnhl
51,438840.875,3,6,Round Robin,csnhl
52,438910.7917,1,4,Round Robin,csnhl
53,438910.8333,2,3,Round Robin,csnhl
54,438910.875,5,6,Round Robin,csnhl
55,438980.7917,1,3,Round Robin,csnhl
56,438980.8333,2,6,Round Robin,csnhl
57,438980.875,4,5,Round Robin,csnhl
58,439050.7917,1,2,Round Robin,csnhl
59,439050.8333,3,5,Round Robin,csnhl
60,439050.875,4,6,Round Robin,csnhl
61,439120.7917,1,4,Playoffs,csnhl
62,439120.8542,2,3,Playoffs,csnhl
63,439190.7917,1,2,Championship,csnhl
